2024-05-28 21:15:00 [OneApp.IGCC.WinService, CPU Usage: 0.9 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:00 [FMService64, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [DAX3API, CPU Usage: 1.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [Lenovo.Modern.ImController, CPU Usage: 2.3 s., Memory Usage: 6.0 MB]
2024-05-28 21:15:00 [LenovoUtilityService, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [esif_uf, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [OfficeClickToRun, CPU Usage: 1.3 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:00 [LMS, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [MpDefenderCoreService, CPU Usage: 1.0 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:00 [nvcontainer, CPU Usage: 33.3 s., Memory Usage: 16.0 MB]
2024-05-28 21:15:00 [RtkAudUService64, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [RstMwService, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [MsMpEng, CPU Usage: 124.5 s., Memory Usage: 102.0 MB]
2024-05-28 21:15:00 [dasHost, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [jhi_service, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [dllhost, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [NisSrv, CPU Usage: 0.1 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:00 [SgrmBroker, CPU Usage: 0.2 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:00 [SearchIndexer, CPU Usage: 4.2 s., Memory Usage: 9.0 MB]
2024-05-28 21:15:00 [sihost, CPU Usage: 1.1 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:00 [PresentationFontCache, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
