2024-01-15 04:34:51 [GoogleCrashHandler64, CPU Usage: 0,0 s., Memory Usage: 1,0 MB]
2024-01-15 04:34:51 [msedgewebview2, CPU Usage: 13773,8 s., Memory Usage: 1434,0 MB]
2024-01-15 04:34:51 [Lightshot, CPU Usage: 32,5 s., Memory Usage: 20,0 MB]
2024-01-15 04:34:51 [TextInputHost, CPU Usage: 273,8 s., Memory Usage: 67,0 MB]
2024-01-15 04:34:51 [SgrmBroker, CPU Usage: 26,2 s., Memory Usage: 8,0 MB]
2024-01-15 04:34:51 [DTShellHlp, CPU Usage: 33,8 s., Memory Usage: 16,0 MB]
2024-01-15 04:34:51 [DiscSoftBusServiceLite, CPU Usage: 43,8 s., Memory Usage: 16,0 MB]
2024-01-15 04:34:51 [ShellExperienceHost, CPU Usage: 201,3 s., Memory Usage: 52,0 MB]
2024-01-15 04:34:51 [Telegram, CPU Usage: 13620,0 s., Memory Usage: 555,0 MB]
2024-01-15 04:34:51 [devenv, CPU Usage: 80920,0 s., Memory Usage: 1652,0 MB]
2024-01-15 04:34:51 [PerfWatson2, CPU Usage: 238,8 s., Memory Usage: 63,0 MB]
2024-01-15 04:34:51 [Microsoft.ServiceHub.Controller, CPU Usage: 488,8 s., Memory Usage: 72,0 MB]
2024-01-15 04:34:51 [ServiceHub.VSDetouredHost, CPU Usage: 247,5 s., Memory Usage: 101,0 MB]
2024-01-15 04:34:51 [ServiceHub.ThreadedWaitDialog, CPU Usage: 2837,5 s., Memory Usage: 114,0 MB]
2024-01-15 04:34:51 [ServiceHub.IntellicodeModelService, CPU Usage: 925,0 s., Memory Usage: 459,0 MB]
2024-01-15 04:34:51 [ServiceHub.IndexingService, CPU Usage: 357,5 s., Memory Usage: 75,0 MB]
2024-01-15 04:34:51 [ServiceHub.RoslynCodeAnalysisService, CPU Usage: 17220,0 s., Memory Usage: 404,0 MB]
2024-01-15 04:34:51 [ServiceHub.IdentityHost, CPU Usage: 358,8 s., Memory Usage: 79,0 MB]
2024-01-15 04:34:51 [ServiceHub.SettingsHost, CPU Usage: 453,7 s., Memory Usage: 141,0 MB]
2024-01-15 04:34:51 [ServiceHub.Host.dotnet.x64, CPU Usage: 1222,5 s., Memory Usage: 99,0 MB]
2024-01-15 04:34:51 [ServiceHub.Host.netfx.x86, CPU Usage: 258,8 s., Memory Usage: 71,0 MB]
2024-01-15 04:34:51 [ServiceHub.DataWarehouseHost, CPU Usage: 1775,0 s., Memory Usage: 133,0 MB]
2024-01-15 04:34:51 [WebViewHost, CPU Usage: 4607,5 s., Memory Usage: 57,0 MB]
2024-01-15 04:34:51 [ace_engine, CPU Usage: 1127,5 s., Memory Usage: 84,0 MB]
2024-01-15 04:34:51 [ace_update, CPU Usage: 146,2 s., Memory Usage: 39,0 MB]
2024-01-15 04:34:51 [AdobeIPCBroker, CPU Usage: 5,0 s., Memory Usage: 9,0 MB]
2024-01-15 04:34:51 [CCLibrary, CPU Usage: 1,2 s., Memory Usage: 3,0 MB]
2024-01-15 04:34:51 [node, CPU Usage: 832,5 s., Memory Usage: 114,0 MB]
2024-01-15 04:34:51 [conhost, CPU Usage: 8,8 s., Memory Usage: 50,0 MB]
2024-01-15 04:34:51 [CCXProcess, CPU Usage: 1,2 s., Memory Usage: 2,0 MB]
2024-01-15 04:34:51 [WINWORD, CPU Usage: 5118,8 s., Memory Usage: 297,0 MB]
2024-01-15 04:34:51 [notepad++, CPU Usage: 173,8 s., Memory Usage: 33,0 MB]
2024-01-15 04:34:51 [ChatGPT, CPU Usage: 233,8 s., Memory Usage: 29,0 MB]
2024-01-15 04:34:51 [ColorMania, CPU Usage: 52,5 s., Memory Usage: 26,0 MB]
2024-01-15 04:34:51 [ServiceHub.Host.AnyCPU, CPU Usage: 668,8 s., Memory Usage: 125,0 MB]
